title,minutes,cost,tags,definition
Palimpsest,5,free,learn engaging anywhere,"a page scraped and rewritten, the old text showing through; anything layered over its past"
Peregrinate,5,free,learn casual anywhere,to travel from place to place on foot; to wander
Quincunx,5,free,learn casual anywhere,five things arranged like the pips on a die
Rime,5,free,learn casual anywhere,frost feathers formed when fog freezes onto surfaces
Sillage,5,free,learn casual anywhere,the trail of scent a person leaves behind
Tarantism,5,free,learn funny casual anywhere,an uncontrollable urge to dance
Ullage,5,free,learn casual anywhere,the empty space between the liquid and the top of the bottle
Wamble,5,free,learn funny casual anywhere,to move unsteadily; of a stomach: to churn
Xenial,5,free,learn kindness casual anywhere,of the friendship between a host and a guest
Yestreen,5,free,learn nostalgic casual anywhere,yesterday evening
Zephyr,5,free,learn casual anywhere,a soft gentle breeze; the west wind
Anagnorisis,5,free,learn engaging anywhere,the moment in a story when a character finally recognises the truth
Bathos,5,free,learn funny casual anywhere,an accidental fall from the sublime to the ridiculous
Chatoyant,5,free,learn casual anywhere,"shimmering with a band of light, like a cat's eye"
Ekphrasis,5,free,learn engaging anywhere,a vivid description of a work of art inside another work of art
Fernweh,5,free,learn adventurous casual anywhere,an ache for far-off places you have never been
Gallimaufry,5,free,learn funny casual anywhere,a confused jumble; a hodgepodge
Hiraeth,5,free,learn nostalgic casual anywhere,longing for a home you cannot return to — or that never was
Kenspeckle,5,free,learn casual anywhere,conspicuous; easily recognised
Lambent,5,free,learn casual anywhere,"light that plays softly over a surface, flickering without burning"
Moonglade,5,free,learn romantic casual anywhere,the track of moonlight on water
Nacreous,5,free,learn casual anywhere,"pearly, iridescent, like the inside of a shell"
Omphalos,5,free,learn casual anywhere,the navel; the centre point of a place or a world
Pettifogger,5,free,learn funny casual anywhere,a quibbler over trifles; a small-time lawyer of low methods
Qualia,5,free,learn challenging anywhere,"the private, felt qualities of experience — what red is like from inside"
Rhadamanthine,5,free,learn engaging anywhere,rigorously and inflexibly just
Scintilla,5,free,learn casual anywhere,the smallest possible trace of something
Tintinnabulation,5,free,learn casual anywhere,the ringing and jingling of bells
Umbra,5,free,learn spooky casual anywhere,the darkest inner part of a shadow
Verklempt,5,free,learn casual anywhere,choked up; overcome with emotion
Weltschmerz,5,free,learn nostalgic engaging anywhere,the weariness of a world that falls short of how it ought to be
Xanthic,5,free,learn casual anywhere,yellowish
Yawp,5,free,learn funny casual anywhere,a loud raucous cry
Zoetrope,5,free,learn nostalgic casual anywhere,a spinning drum of still pictures that moves when you look through the slits
Aestival,5,free,learn casual anywhere,belonging to summer
Brumal,5,free,learn casual anywhere,belonging to winter
Clepsydra,5,free,learn casual anywhere,a clock that tells time by dripping water
Doryphore,5,free,learn funny casual anywhere,a persistent and self-satisfied critic of small mistakes
Empyrean,5,free,learn casual anywhere,the highest heaven; the vault of the sky
Fissiparous,5,free,learn engaging anywhere,inclined to split into pieces or factions
Growlery,5,free,learn funny casual anywhere,a room you retreat to when out of temper
Heliotropic,5,free,learn casual anywhere,turning toward the sun
Illeist,5,free,learn funny casual anywhere,a person who refers to themselves in the third person
Jouissance,5,free,learn casual anywhere,intense delight; pleasure at the edge of too much
Kintsugi,5,free,learn mindful casual anywhere,"mending broken pottery with gold, so the break becomes part of the beauty"
Lethologica,5,free,learn funny casual anywhere,the inability to summon the exact word you want
Mizzle,5,free,learn casual anywhere,fine misty drizzle
Noctilucent,5,free,learn casual anywhere,"shining in the night, as the highest clouds do after sunset"
Oneiric,5,free,learn spooky casual anywhere,of dreams or dreaming
Paracosm,5,free,learn engaging anywhere,"a detailed imaginary world, kept and returned to over years"
Quockerwodger,5,free,learn funny casual anywhere,a wooden puppet on strings; a politician worked by somebody else
Redolent,5,free,learn nostalgic casual anywhere,smelling strongly of something; steeped in the suggestion of it
Snollygoster,5,free,learn funny casual anywhere,"a shrewd, unprincipled person, especially in politics"
Thalassic,5,free,learn casual anywhere,of the sea
Uxorious,5,free,learn romantic casual anywhere,excessively devoted to one's wife
Vertiginous,5,free,learn adventurous casual anywhere,dizzying; so high or steep it turns the head
Williwaw,5,free,learn adventurous casual anywhere,a sudden violent squall blowing down off the mountains
Yugen,5,free,learn mindful engaging anywhere,"a profound, dim awareness of the depth and mystery of the universe"
Zeitgeber,5,free,learn engaging anywhere,"an external cue, like daylight, that sets the body's clock"
Ailurophile,5,free,learn funny casual anywhere,a lover of cats
Bibliopole,5,free,learn casual anywhere,a dealer in rare books
Crepitate,5,free,learn casual anywhere,to crackle and pop softly
Deracinate,5,free,learn engaging anywhere,to tear up by the roots
Estivate,5,free,learn funny casual anywhere,to pass the summer in a dormant state; to hibernate through the heat
Funambulist,5,free,learn adventurous casual anywhere,a tightrope walker
Grimoire,5,free,learn spooky casual anywhere,a book of spells and invocations
