title,minutes,cost,tags
"Whose life do you envy, and for what?",20,free,solo mindful challenging anywhere question
What did you love doing at ten that you never do now?,15,free,solo nostalgic engaging anywhere question
What smell takes you straight back to childhood?,5,free,solo nostalgic casual anywhere question
Which teacher changed how you think?,10,free,solo nostalgic casual anywhere question
What did you worry about five years ago that came to nothing?,10,free,solo nostalgic engaging anywhere question
What is your earliest memory you trust?,15,free,solo nostalgic engaging anywhere question
Which family story do you hope gets retold forever?,15,free,solo nostalgic casual anywhere question
What did your grandparents do that nobody does any more?,15,free,solo nostalgic engaging anywhere question
Which friendship do you miss?,15,free,solo nostalgic engaging anywhere question
What was the best meal of your life so far?,10,free,solo nostalgic casual anywhere question
Which version of you would be proudest of who you are now?,20,free,solo nostalgic engaging anywhere question
What was your first real act of independence?,15,free,solo nostalgic engaging anywhere question
What tradition would you bring back?,10,free,solo nostalgic casual anywhere question
What did you outgrow without noticing?,15,free,solo nostalgic engaging anywhere question
Which place from your past would you most like to walk through again?,15,free,solo nostalgic engaging anywhere question
What song puts you back in a particular year?,10,free,solo nostalgic casual anywhere question
What are you most afraid of losing?,30,free,solo mindful challenging anywhere question
What would you do first if you stopped being afraid?,20,free,solo adventurous challenging anywhere question
Which of your fears have you inherited?,30,free,solo mindful challenging anywhere question
What is the worst that would actually happen?,15,free,solo mindful engaging anywhere question
What do you do when nobody is watching?,15,free,solo mindful engaging anywhere question
Where would you live if work did not decide?,15,free,solo adventurous engaging anywhere question
What trip do you keep postponing?,10,free,solo adventurous casual anywhere question
What skill would change your life most if you had it?,15,free,solo engaging anywhere question
What would a braver version of you do this month?,15,free,solo adventurous engaging anywhere question
What is on your list to do before you die that you could do this year?,20,free,solo adventurous engaging anywhere question
"If you could apprentice yourself to anyone for a year, who?",15,free,solo adventurous engaging anywhere question
What is the most alive you have felt in the last year?,15,free,solo mindful engaging anywhere question
What adventure would you regret never taking?,20,free,solo adventurous engaging anywhere question
"Who gets your best self, and who gets the leftovers?",30,free,solo mindful challenging anywhere question
Who would you call at three in the morning?,10,free,solo casual anywhere question
Who do you know that you would like to know better?,10,free,solo casual anywhere question
What do your closest people need from you right now?,20,free,solo kindness mindful engaging anywhere question
What apology do you owe?,30,free,solo mindful challenging anywhere question
What apology are you still waiting for?,30,free,solo mindful challenging anywhere question
Who taught you what love looks like?,20,free,solo nostalgic engaging anywhere question
What do you find hardest to say out loud?,30,free,solo mindful challenging anywhere question
Who believed in you before you did?,15,free,solo nostalgic engaging anywhere question
What work would you do for free?,15,free,solo engaging anywhere question
What did you want to be at eight years old?,10,free,solo nostalgic casual anywhere question
What part of your work would you keep if you never needed money?,20,free,solo engaging anywhere question
What are you building that will outlast you?,30,free,solo mindful challenging anywhere question
What would you make if you had a free month and no audience?,20,free,solo create engaging anywhere question
What does your ideal ordinary Tuesday look like?,15,free,solo mindful casual anywhere question
What have you mastered?,15,free,solo engaging anywhere question
What is the next thing you want to learn properly?,10,free,solo learn casual anywhere question
What did you fail at that you are glad you tried?,15,free,solo engaging anywhere question
What lesson do you keep having to learn again?,20,free,solo mindful challenging anywhere question
What are you taking for granted right now?,15,free,solo mindful engaging anywhere question
What is the luckiest thing that ever happened to you?,10,free,solo nostalgic casual anywhere question
What do you have today that you once wished for?,10,free,solo mindful casual anywhere question
Which of your values would you defend at real cost?,30,free,solo mindful challenging anywhere question
What rule do you live by that you never say out loud?,20,free,solo mindful engaging anywhere question
What would you never do for money?,15,free,solo engaging anywhere question
What is worth being late for?,10,free,solo mindful casual anywhere question
What do you hope people say about you when you leave the room?,20,free,solo mindful engaging anywhere question
What is your definition of a life well lived?,30,free,solo mindful challenging anywhere question
What made you laugh hardest this year?,10,free,solo funny casual anywhere question
What are you looking forward to?,5,free,solo casual anywhere question
What was good about today?,5,free,solo mindful casual anywhere question
"What decision are you putting off, and what is it costing?",30,free,solo mindful challenging anywhere question
What is your favourite hour of the day?,5,free,solo mindful casual anywhere question
What would you do more of if it were not embarrassing?,15,free,solo funny engaging anywhere question
What lie do you tell most often?,30,free,solo mindful challenging anywhere question
What would you like to be doing less by this time next year?,15,free,solo mindful engaging anywhere question
"If your energy were a budget, what is overspending it?",20,free,solo mindful engaging anywhere question
What have you been meaning to thank someone for?,10,free,solo kindness casual anywhere question
What would your home say about you to a stranger?,15,free,solo funny engaging anywhere question
What is your relationship with your phone doing to you?,20,free,solo mindful challenging anywhere question
"When were you last bored, really bored?",10,free,solo mindful casual anywhere question
What is one thing you know you will regret not doing?,30,free,solo mindful challenging anywhere question
What season of your life is this?,20,free,solo mindful engaging anywhere question
What are you holding onto that you should put down?,30,free,solo mindful challenging anywhere question
What would you try if nobody would ever know the result?,15,free,solo adventurous engaging anywhere question
What question do you hope nobody asks you?,30,free,solo mindful challenging anywhere question
"What are you currently getting wrong, probably?",20,free,solo mindful challenging anywhere question
What did this year teach you that last year could not?,20,free,solo mindful engaging anywhere question
Who are you when things go wrong?,20,free,solo mindful challenging anywhere question
What is the most useful thing anyone ever told you?,10,free,solo casual anywhere question
What do you want more of in your life that money cannot buy?,20,free,solo mindful engaging anywhere question
What are you excited about at the moment?,10,free,newpeople casual anywhere question
What is the story behind your name?,10,free,newpeople casual anywhere question
What do you do when you are not doing what you do?,10,free,newpeople casual anywhere question
"Where did you grow up, and what was it known for?",10,free,newpeople casual anywhere question
What is the best thing that happened to you this week?,5,free,newpeople casual anywhere question
What did you want to be when you were eight?,10,free,newpeople nostalgic casual anywhere question
What are you reading or watching that is worth recommending?,10,free,newpeople casual anywhere question
What is your favourite thing about where you live?,10,free,newpeople casual anywhere question
What is the most interesting thing you have learned lately?,10,free,newpeople learn casual anywhere question
What do people usually ask you about once they know you?,10,free,newpeople casual anywhere question
What is your favourite way to waste an afternoon?,10,free,newpeople casual anywhere question
What is the best meal you have had this month?,5,free,newpeople eat casual anywhere question
What place have you been that surprised you most?,10,free,newpeople travel casual anywhere question
What is a small thing you are unreasonably good at?,10,free,newpeople funny casual anywhere question
What was your first job?,10,free,newpeople nostalgic casual anywhere question
What is the best piece of advice you carry around?,10,free,newpeople engaging anywhere question
What always makes you laugh?,5,free,newpeople funny casual anywhere question
What would you do with a free afternoon in a strange city?,10,free,newpeople adventurous casual anywhere question
What is your current small obsession?,10,free,newpeople casual anywhere question
What is a question you love being asked?,10,free,newpeople engaging anywhere question
What did you do last weekend that you would do again?,5,free,newpeople casual anywhere question
What is your favourite family tradition?,10,free,newpeople nostalgic casual anywhere question
What food could you eat every week forever?,5,free,newpeople eat casual anywhere question
What is the best thing you own that cost almost nothing?,10,free,newpeople casual anywhere question
What do you always pack that nobody else does?,10,free,newpeople funny casual anywhere question
What is the last photo you took on purpose?,5,free,newpeople casual anywhere question
What was your favourite subject at school?,10,free,newpeople nostalgic casual anywhere question
What is your hometown's best-kept secret?,10,free,newpeople casual anywhere question
What could you talk about for an hour with no notes?,10,free,newpeople engaging anywhere question
What is the most beautiful place you have been this year?,10,free,newpeople travel casual anywhere question
What hobby have you picked up as an adult?,10,free,newpeople casual anywhere question
What holiday do you look forward to most?,10,free,newpeople nostalgic casual anywhere question
What is a skill you are learning right now?,10,free,newpeople learn casual anywhere question
What music have you had on lately?,5,free,newpeople listen casual anywhere question
What is the best concert or show you have ever seen?,10,free,newpeople casual anywhere question
Who is the most interesting person you know?,10,free,newpeople engaging anywhere question
What is a rule you live by?,15,free,newpeople engaging anywhere question
What is your idea of a perfect Sunday?,10,free,newpeople casual anywhere question
What are you looking forward to this year?,10,free,newpeople casual anywhere question
What is the best trip you have ever taken?,10,free,newpeople travel casual anywhere question
What would you do with three months off?,10,free,newpeople adventurous casual anywhere question
What animal have you met that you still think about?,10,free,newpeople funny casual anywhere question
What did your grandparents cook?,10,free,newpeople eat nostalgic casual anywhere question
What is the strangest coincidence that ever happened to you?,15,free,newpeople engaging anywhere question
What game are you dangerously competitive at?,10,free,newpeople play funny casual anywhere question
What movie can you quote too much of?,10,free,newpeople watch funny casual anywhere question
What accent or language do you wish you had?,10,free,newpeople funny casual anywhere question
What is the best team you have ever been part of?,10,free,newpeople engaging anywhere question
What everyday tool or gadget quietly changed your life?,10,free,newpeople casual anywhere question
What would surprise people about your work?,10,free,newpeople engaging anywhere question
What is your favourite time of day?,5,free,newpeople mindful casual anywhere question
What weather makes you happiest?,5,free,newpeople mindful casual anywhere question
What is your comfort rewatch?,5,free,newpeople watch casual anywhere question
What do you cook when you want to impress?,10,free,newpeople eat casual anywhere question
What do you cook when you are exhausted?,5,free,newpeople eat funny casual anywhere question
Where would you take a visitor first around here?,10,free,newpeople casual anywhere question
What is the kindest thing anyone did for you this year?,10,free,newpeople kindness engaging anywhere question
What are you curious about lately?,10,free,newpeople learn casual anywhere question
What compliment have you remembered for years?,10,free,newpeople engaging anywhere question
What question should I have asked you?,10,free,newpeople engaging anywhere question
What does a good life require?,45,free,mindful challenging anywhere question
What do you believe that you cannot prove?,30,free,mindful challenging anywhere question
What is worth suffering for?,45,free,mindful challenging anywhere question
Can you be a good person by accident?,30,free,funny challenging anywhere question
What do we owe strangers?,30,free,kindness challenging anywhere question
What do we owe the future?,45,free,mindful challenging anywhere question
Is anybody self-made?,30,free,challenging anywhere question
What is the difference between being nice and being kind?,20,free,kindness engaging anywhere question
When is it right to break a promise?,30,free,challenging anywhere question
What should be forgiven that usually is not?,30,free,kindness challenging anywhere question
What is the point of work?,30,free,challenging anywhere question
Would you want to know the date of your death?,20,free,spooky engaging anywhere question
How much of who you are did you choose?,30,free,mindful challenging anywhere question
"What is love, apart from the feeling?",30,free,romantic challenging anywhere question
Does everything happen for a reason?,30,free,mindful challenging anywhere question
What makes a home a home?,20,free,mindful engaging anywhere question
When does a hobby become a calling?,20,free,engaging anywhere question
What is the most important thing schools do not teach?,20,free,learn engaging anywhere question
Is it better to be respected or liked?,20,free,engaging anywhere question
What does courage look like in an ordinary life?,30,free,mindful challenging anywhere question
What is the difference between solitude and loneliness?,30,free,mindful challenging anywhere question
How do you know when to quit?,30,free,challenging anywhere question
What deserves more awe than it gets?,20,free,mindful engaging anywhere question
"What is sacred to you, whatever that word means to you?",45,free,mindful challenging anywhere question
Is contentment a goal or a trap?,30,free,mindful challenging anywhere question
What is beauty for?,30,free,mindful challenging anywhere question
Why do we tell stories?,30,free,mindful engaging anywhere question
What is the best use of a long life?,45,free,mindful challenging anywhere question
What should get easier with age but does not?,20,free,engaging anywhere question
"What is wisdom, and who taught you yours?",30,free,mindful challenging anywhere question
Is there a thought you avoid thinking?,30,free,spooky challenging anywhere question
What is the kindest way to tell a hard truth?,30,free,kindness challenging anywhere question
When is lying right?,30,free,challenging anywhere question
What do children understand that adults forget?,20,free,nostalgic engaging anywhere question
Why does time speed up as we age?,20,free,mindful engaging anywhere question
What will our generation be blamed for?,30,free,challenging anywhere question
What will our generation be thanked for?,30,free,engaging anywhere question
What counts as progress?,30,free,challenging anywhere question
Would you live forever if you could?,30,free,spooky engaging anywhere question
What is worth being angry about?,30,free,challenging anywhere question
What does forgiveness actually require?,45,free,kindness challenging anywhere question
Who gets to decide what you meant?,20,free,engaging anywhere question
What is the difference between an explanation and an excuse?,20,free,engaging anywhere question
How much privacy do we owe each other?,30,free,challenging anywhere question
"What is luck, and how much of your life is it?",30,free,mindful challenging anywhere question
What makes something art?,30,free,create challenging anywhere question
What would you preserve for people five hundred years from now?,30,free,mindful engaging anywhere question
What is the hardest thing about being human?,45,free,mindful challenging anywhere question
What is the best thing about being human?,30,free,mindful engaging anywhere question
"If you will not remember it, does it still count?",30,free,mindful challenging anywhere question
What debts can never be repaid?,30,free,mindful challenging anywhere question
What is a question that changed your life?,30,free,mindful challenging anywhere question
What do you owe your own talent?,30,free,create challenging anywhere question
When should tradition win against progress?,30,free,nostalgic challenging anywhere question
What does it mean to belong somewhere?,30,free,mindful challenging anywhere question
What is the opposite of loneliness?,20,free,mindful engaging anywhere question
How should we measure a year?,20,free,mindful engaging anywhere question
What is the difference between happiness and meaning?,45,free,mindful challenging anywhere question
What do you hope is true?,30,free,mindful engaging anywhere question
What is your best guess about why we are here?,45,free,mindful challenging anywhere question
What would you ask someone who had all the answers?,20,free,engaging anywhere question
What part of the future are you certain about?,20,free,engaging anywhere question
What does everyone believe now that will look absurd in a century?,30,free,funny challenging anywhere question
What is worth waiting decades for?,30,free,mindful challenging anywhere question
How much say should your past have in your future?,30,free,mindful challenging anywhere question
What can grief teach that nothing else can?,45,free,mindful challenging anywhere question
What makes a promise binding?,30,free,challenging anywhere question
What would justice look like if you designed it?,45,free,challenging anywhere question
What should never be for sale?,30,free,challenging anywhere question
What question do you most want answered before you die?,45,free,spooky mindful challenging anywhere question
Would you rather always be ten minutes late or always an hour early?,5,free,funny casual anywhere question
What superpower would ruin your life fastest?,10,free,funny casual anywhere question
"If you had entrance music, what would it be?",5,free,funny casual anywhere question
Would you rather fight one horse-sized duck or a hundred duck-sized horses?,10,free,funny casual anywhere question
What animal would be the rudest if it could talk?,5,free,funny casual anywhere question
"What is the best sandwich, objectively?",10,free,eat funny casual anywhere question
Would you rather never hear music again or never see a film again?,10,free,funny engaging anywhere question
What would you name your boat?,5,free,funny casual anywhere question
"If your pet could talk, what would it complain about first?",5,free,funny casual anywhere question
What food do you refuse to share?,5,free,eat funny casual anywhere question
Would you rather give up cheese or chocolate forever?,5,free,eat funny casual anywhere question
What is the most useless talent you would still love to have?,5,free,funny casual anywhere question
Which animal would win a general election?,10,free,funny casual anywhere question
Which historical figure would be the worst roommate?,10,free,funny casual anywhere question
What would you do first with an invisible day?,10,free,funny casual anywhere question
Would you rather speak every language or play every instrument?,10,free,funny engaging anywhere question
What tiny problem would you pass a law to fix?,10,free,funny casual anywhere question
What smell should be illegal?,5,free,funny casual anywhere question
What is the correct number of pillows?,5,free,funny casual anywhere question
Which kitchen utensil are you?,5,free,funny casual anywhere question
What would your villain origin story be?,10,free,funny casual anywhere question
Would you rather visit the past or the future?,10,free,adventurous engaging anywhere question
What extinct animal should come back first?,5,free,funny casual anywhere question
What would you put in a time capsule purely to confuse people?,10,free,funny casual anywhere question
Which fictional house would you move into tomorrow?,10,free,funny casual anywhere question
What is the worst possible name for a goldfish?,5,free,funny casual anywhere question
Would you rather always whisper or always shout?,5,free,funny casual anywhere question
What would your job be in the apocalypse?,10,free,spooky funny casual anywhere question
Which ghost would you actually want haunting you?,10,free,spooky funny casual anywhere question
Would you rather spend a night in a haunted house or a week without your phone?,10,free,spooky funny casual anywhere question
What is the scariest ordinary object?,5,free,spooky funny casual anywhere question
"If you had to disappear and start over, what would your new name be?",10,free,adventurous funny casual anywhere question
Would you rather explore the deep sea or deep space?,10,free,adventurous engaging anywhere question
What world record could you break with a year of training?,10,free,funny casual anywhere question
What would you do with a dragon for a weekend?,10,free,adventurous funny casual anywhere question
Would you rather fly slowly or teleport once a day?,10,free,funny casual anywhere question
What sport would be better with one absurd rule change?,10,free,play funny casual anywhere question
What fictional food do you most wish existed?,5,free,eat funny casual anywhere question
Which decade would you visit for the clothes alone?,10,free,nostalgic funny casual anywhere question
What toy from your childhood deserves a comeback?,5,free,play nostalgic casual anywhere question
Would you rather rewatch your whole life or preview one year of it?,10,free,nostalgic engaging anywhere question
What cartoon logic do you wish applied in real life?,10,free,funny casual anywhere question
What belongs in a museum of perfectly ordinary things?,10,free,funny casual anywhere question
Would you rather have a rewind button or a pause button?,10,free,funny engaging anywhere question
What is the most overrated invention?,10,free,funny casual anywhere question
What is the most underrated invention?,10,free,funny casual anywhere question
"If you opened a tiny useless shop, what would it sell?",10,free,funny casual anywhere question
What would your warning label say?,5,free,funny casual anywhere question
"If you could combine two animals, which two?",5,free,funny casual anywhere question
Would you rather host dinner for five villains or five saints?,10,free,funny casual anywhere question
What is the best word you know?,5,free,funny casual anywhere question
What would the title of your autobiography be?,10,free,funny casual anywhere question
Would you rather never wait in line again or never sit in traffic again?,5,free,funny casual anywhere question
What food combination do you defend to the death?,5,free,eat funny casual anywhere question
What would aliens find funniest about us?,10,free,funny casual anywhere question
Would you rather have perfect memory or perfect sleep?,10,free,funny engaging anywhere question
What is the silliest thing you sincerely believe?,10,free,funny casual anywhere question
What game show would you actually win?,10,free,play funny casual anywhere question
Would you rather live in a lighthouse or a treehouse?,5,free,funny casual anywhere question
What tiny luxury should come standard in every home?,5,free,funny casual anywhere question
