title,minutes,cost,tags,source
Shoot a one-minute film on your phone with no cuts,60,free,create film challenging anywhere,seed
Film the same place at four different times of day,90,free,create film mindful engaging outdoors,seed
Make a title sequence for a film that does not exist,90,free,create film funny engaging home,seed
Learn to edit one thing properly,120,free,create film learn challenging home,seed
Film somebody you love doing the thing they always do,45,free,create film kindness nostalgic engaging anywhere,seed
"Remake a scene you know by heart, badly",120,free,create film acting funny friends engaging anywhere,seed
Shoot a whole roll of film and wait a week for it,120,frugal,create film visualart adventurous engaging outdoors,seed
Make a stop-motion ten seconds long,120,free,create film funny challenging home,seed
Take a hundred photographs of one object,45,free,create visualart engaging learn home,seed
Photograph ten things that are all the same colour,60,free,create visualart engaging outdoors,seed
Take photographs at night on a long exposure,90,free,create visualart film spooky engaging outdoors,seed
Clear one surface completely and then stop,30,free,organize clean mindful casual home,seed
Rearrange one room properly,150,free,organize move challenging home,seed
Put every photograph from one year into an album,60,free,organize nostalgic engaging anywhere,seed
Deal with the drawer of paper,60,free,organize challenging home,seed
Work out one thing about your own money,40,free,organize learn engaging home,seed
Write down ten things you would do with a free Saturday,20,free,organize writing casual anywhere,seed
Put your books in an order that means something,60,free,organize funny engaging home,seed
Cancel one subscription you had forgotten about,15,free,organize casual home,seed
Plan next week on paper rather than on a screen,30,free,organize mindful casual home,seed
Give away five things today,45,free,organize kindness casual home,seed
Name every file on your desktop properly,40,free,organize casual home,seed
Make a list of everybody you owe a message,20,free,organize kindness casual anywhere,seed
Sort your clothes into what you actually wear,90,free,organize challenging clothes home,seed
Empty one box you have not opened since you moved,60,free,organize nostalgic engaging home,seed
Write down what you want this year to have in it,45,free,organize writing mindful engaging anywhere,seed
Put every tool back where tools go,40,free,organize repair casual home,seed
Put your affairs in order for exactly one hour,60,free,organize mindful engaging home,seed
Clean the one thing you always look past,25,free,clean casual home,seed
Wash the windows and notice the difference all week,60,free,clean engaging home,seed
Clean your keyboard properly,20,free,clean casual home,seed
Descale everything that can be descaled,45,free,clean engaging home,seed
Take everything out of the fridge and start again,60,free,clean engaging home,seed
Polish something until it looks new,40,free,clean mindful engaging home,seed
Clean your shoes,25,free,clean mindful casual home,seed
Sweep outside your own front door,20,free,clean kindness casual home,seed
Do the washing up with the radio on and no hurry,30,free,clean mindful listen casual home,seed
Clean out whatever you drive or ride,60,free,clean engaging home,seed
Fix the thing you have been stepping over,30,free,repair casual home,seed
Find out what is actually wrong with it before buying another,45,free,repair learn engaging home,seed
Glue the broken thing back together and let the join show,45,free,repair create mindful engaging home,seed
Sharpen every knife in the house,40,frugal,repair engaging learn home,seed
Oil the hinge that has been squeaking for months,5,free,repair casual home,seed
"Replace a fuse, a washer or a battery yourself",30,frugal,repair learn casual home,seed
Take something broken apart just to see inside it,60,free,repair try challenging home,seed
Patch the wall you have been ignoring,60,frugal,repair engaging home,seed
"Restring, retune or re-fit something you own",45,frugal,repair engaging learn home,seed
Fix somebody else’s broken thing,60,free,repair kindness engaging anywhere,seed
"Learn how the boiler, the fuse box or the lock actually works",40,free,repair learn engaging home,seed
Try a class you would be visibly bad at,90,costly,try learn challenging indoors newpeople friends,seed
Learn twenty words of a language you will never speak,30,free,try learn casual anywhere,seed
Teach yourself one knot,15,free,try learn casual anywhere,seed
Learn to do one pull-up,20,frugal,try move challenging home,seed
Learn to fold one good paper thing,30,free,try create casual mindful home,seed
Learn to make one cocktail properly,40,frugal,try eat learn engaging home,seed
Cook with one ingredient you have never used,90,frugal,try eat engaging home,seed
Learn five trees on your own street,40,free,try learn casual outdoors,seed
Learn to identify five birds by their sound,45,free,try learn mindful engaging outdoors,seed
Try the food you decided you hated as a child,40,frugal,try eat funny casual anywhere,seed
Learn one card trick well enough to fool somebody,60,free,try play funny engaging home,seed
Learn to juggle three things,45,free,try play move challenging anywhere,seed
Write with your other hand for a whole day,20,free,try funny casual anywhere,seed
Learn to whistle properly,20,free,try funny casual anywhere,seed
"Find out where your water comes from, then go and look at it",90,free,try learn engaging anywhere,seed
Watch a film by somebody whose name you do not know,120,frugal,watch try engaging home,seed
Watch something in a language you do not speak,110,free,watch try engaging home,seed
Go to a matinee on your own,150,costly,watch solo casual indoors,seed
Watch the film one of you loves and the other has never seen,150,free,watch romantic engaging home partner,seed
Watch the sun come up,75,free,watch mindful engaging outdoors,seed
Watch a horror film with all the lights off,110,free,watch spooky engaging home,seed
Go to a gallery and look at one room only,60,frugal,watch mindful engaging indoors,seed
Watch a sport you do not understand until you work out the rules,90,free,watch try funny engaging anywhere,seed
Watch the film that terrified you as a child,110,free,watch spooky nostalgic engaging home,seed
Sit somewhere busy and watch people for an hour,60,free,watch mindful casual indoors,seed
Watch a documentary about something you would never choose,90,free,watch try engaging home,seed
"Go to a play, even a bad one",180,costly,watch acting engaging indoors newpeople friends,seed
Watch the whole credits and look up one name,4,free,watch funny casual home,seed
Watch a thunderstorm from somewhere dry,30,free,watch mindful casual anywhere,seed
"Listen to an album in the dark, start to finish",45,free,listen music mindful engaging home,seed
Find out what your favourite band listened to,60,free,listen music learn engaging anywhere,seed
Go and see live music by somebody you have never heard of,180,costly,listen music adventurous engaging indoors newpeople friends,seed
Learn the names of five instruments in a piece you love,35,free,listen music learn engaging anywhere,seed
Listen to a whole radio station from another country,45,free,listen try casual anywhere,seed
Sit outside and listen with your eyes closed for ten minutes,15,free,listen mindful casual outdoors,seed
Listen to the album that was everything when you were seventeen,45,free,listen music nostalgic casual anywhere,seed
Ask somebody to play you their favourite song and say nothing,20,free,listen music friends kindness casual anywhere,seed
Listen to a podcast about something you would never search for,45,free,listen try casual anywhere,seed
Put on music from the year you were born,40,free,listen music nostalgic funny casual anywhere,seed
Read the Wikipedia article you keep meaning to read,30,free,read learn casual anywhere,seed
Reread the book that mattered when you were seventeen,180,free,read nostalgic engaging home,seed
Read a whole magazine about something you know nothing about,60,frugal,read try casual anywhere,seed
Read a short story out loud to somebody,45,free,read friends kindness engaging home,seed
Read the same short story as somebody else and argue about it,90,free,read romantic friends engaging home partner,seed
Read a ghost story in bed with one lamp on,45,free,read spooky casual home,seed
Go to a library with no idea what you want,60,free,read adventurous casual indoors,seed
Read the first chapter of five books and keep one,60,frugal,read casual anywhere,seed
Read a poem a day until the week is out,10,free,read mindful casual anywhere,seed
Read something written more than two hundred years ago,60,free,read challenging try anywhere,seed
Read the local history of your own street,90,free,read learn nostalgic engaging anywhere,seed
Read a whole book in one sitting,300,free,read challenging home,seed
Walk to the furthest point you can reach in thirty minutes,60,free,travel move casual outdoors,seed
Take the first bus that arrives and ride it to the end,180,frugal,travel adventurous funny engaging indoors,seed
Get off two stops early and walk the rest,45,free,travel move casual outdoors,seed
Take a train one stop past where you usually get off,240,frugal,travel romantic adventurous engaging indoors partner,seed
Go somewhere by train with no bag and come back at night,480,costly,travel adventurous engaging indoors,seed
Climb the highest thing nearby and look at where you live,90,free,travel move engaging outdoors,seed
Find water and follow it downstream until it gets boring,120,free,travel move engaging outdoors,seed
Walk one long road from end to end,180,free,travel move challenging outdoors,seed
Go to the place tourists come to and be a tourist,120,frugal,travel funny casual indoors,seed
Sleep outside,600,frugal,travel adventurous challenging outdoors,seed
"Walk a route you know well, at night",45,free,travel mindful casual outdoors,seed
Go somewhere with no map and no plan,75,free,travel adventurous engaging outdoors,seed
Find the oldest thing near you and go and stand next to it,75,free,travel learn nostalgic casual indoors,seed
Get up at five and go somewhere,180,free,travel adventurous engaging outdoors,seed
Cycle somewhere you would normally drive,75,free,travel move engaging outdoors,seed
Go and look at a building you have only ever seen photographs of,120,frugal,travel learn engaging indoors,seed
Take a ferry for no reason,120,frugal,travel adventurous casual outdoors,seed
Go somewhere neither of you has ever been,240,frugal,travel romantic adventurous engaging outdoors partner,seed
"Cook something you have never cooked, properly",120,frugal,eat create engaging home,seed
Make bread from scratch,240,free,eat create engaging home,seed
Eat at the place you always walk past,90,frugal,eat casual indoors newpeople friends,seed
Make a proper breakfast on a weekday,45,free,eat mindful kindness casual home,seed
Bake something and give it away,120,frugal,eat create kindness engaging home,seed
Have a picnic in unglamorous weather,75,frugal,eat mindful casual outdoors,seed
Shop at a market instead of a supermarket,75,frugal,eat casual indoors newpeople friends,seed
Cook the thing your family used to make,120,frugal,eat create nostalgic kindness engaging home,seed
Eat somewhere serving a cuisine you cannot name,90,frugal,eat try adventurous casual indoors,seed
Cook one dish together with no recipe between you,120,frugal,eat romantic create friends engaging home partner,seed
Go out for breakfast before work,75,frugal,eat romantic casual indoors partner,seed
Make the most complicated thing in the book,300,costly,eat challenging create home,seed
Eat by candlelight on an ordinary Tuesday,60,free,eat romantic mindful casual home partner,seed
Cook for somebody who does not usually get cooked for,150,frugal,eat kindness friends create engaging home,seed
Grow one thing you can eat,60,frugal,eat create engaging home,seed
Pick something wild and eat it,60,free,eat try learn engaging outdoors,seed
Eat a meal with no phone anywhere in the room,45,free,eat mindful casual anywhere,seed
Make something you have only ever bought,90,frugal,eat create try engaging home,seed
Play a board game with actual people at an actual table,120,frugal,play friends funny engaging home,seed
Go to a pub quiz and lose,150,frugal,play friends funny engaging indoors newpeople,seed
Play the game you loved as a child,60,free,play nostalgic funny casual home,seed
Learn a card game nobody you know plays,45,free,play try learn engaging home,seed
Fly a kite badly,60,frugal,play funny move casual outdoors,seed
Take up a sport you are too old to start,90,frugal,play move try challenging friends indoors newpeople,seed
Throw something at a wall and catch it a thousand times,30,free,play move mindful casual anywhere,seed
Play hide and seek with somebody far too old for it,30,free,play funny friends romantic casual home,seed
Set a puzzle going and leave it out all week,30,frugal,play mindful casual home,seed
"Skateboard, badly, in an empty car park",60,frugal,play move funny adventurous casual outdoors,seed
Play chess against a stranger in a park,60,free,play challenging outdoors newpeople friends,seed
Do a jigsaw and talk the whole way through it,150,frugal,play romantic mindful friends casual home partner,seed
Play twenty questions about something real,20,free,play funny friends casual anywhere,seed
Swim somewhere outdoors,90,frugal,play move adventurous engaging outdoors,seed
Invent a game out of the things on the table,30,free,play funny friends create casual anywhere,seed
Play arcade games with actual coins,60,frugal,play nostalgic funny friends casual indoors,seed
"Run the loop you always mean to run, slowly",40,free,move engaging outdoors,seed
Walk ten thousand steps in one go,120,free,move challenging outdoors,seed
Swim lengths until you lose count,60,frugal,move mindful engaging outdoors,seed
Carry something heavy up a hill,45,free,move challenging outdoors,seed
Do the exercise you are worst at,30,free,move challenging try home,seed
Walk there and get the bus back,90,frugal,move travel casual outdoors,seed
Take the stairs everywhere for a day,20,free,move casual funny anywhere,seed
"Move every joint you own, once",4,free,move mindful casual home,seed
Race somebody to the end of the road,15,free,move funny friends casual outdoors,seed
Stretch on the floor for twenty minutes,25,free,move mindful casual home,seed
Do nothing for twenty minutes on purpose,20,free,mindful casual home,seed
Have a bath with the phone in another room,45,free,mindful casual home,seed
Go to bed absurdly early,30,free,mindful casual home,seed
Delete one app for a week,10,free,mindful organize casual anywhere,seed
Walk with no destination and no podcast,45,free,mindful move casual outdoors,seed
Sit in one place outdoors for a whole hour,60,free,mindful engaging outdoors,seed
"Watch the fire, or the rain, or the kettle",15,free,mindful casual anywhere,seed
Say nothing for the first hour you are awake,60,free,mindful challenging home,seed
Plant something,60,frugal,mindful create casual anywhere,seed
Lie on the floor and listen to one long piece of music,40,free,mindful listen music casual home,seed
Look at the sky until you have found five things in it,4,free,mindful casual outdoors,seed
Ring somebody instead of texting them,25,free,kindness casual anywhere,seed
Have people over for something small,180,frugal,friends kindness eat engaging home,seed
Organise the thing everybody says they want to do,30,free,friends organize kindness challenging anywhere,seed
Ask somebody to teach you what they are good at,90,free,friends learn kindness engaging anywhere newpeople,seed
Have one long conversation with no phones on the table,120,free,mindful engaging anywhere,seed
Walk beside somebody instead of sitting opposite them,75,free,friends move mindful casual outdoors,seed
Do the errand somebody else has been dreading,45,free,kindness casual anywhere,seed
Turn up to a local meeting about something,90,free,learn kindness engaging indoors newpeople friends,seed
Volunteer for exactly one shift,180,free,kindness challenging indoors newpeople friends,seed
Write to somebody who will never expect it,30,free,kindness writing nostalgic casual anywhere,seed
Pick up litter along one street,30,free,kindness move casual outdoors,seed
Leave something good for a stranger to find,25,free,kindness funny create casual indoors,seed
Start the group chat that becomes a monthly thing,20,free,friends organize kindness casual anywhere,seed
Introduce two people who should already know each other,20,free,kindness casual anywhere newpeople friends,seed
Sit with somebody who is having a bad month,120,free,friends kindness mindful engaging anywhere,seed
Cook for your neighbours,150,frugal,kindness eat engaging home newpeople friends,seed
Interview each other about something you have never asked about,60,free,romantic friends mindful engaging anywhere partner,seed
Get dressed up for no occasion at all,180,costly,romantic funny casual indoors partner,seed
Plan a trip you might never take,90,free,romantic organize engaging home partner,seed
Walk home instead of getting a taxi,60,free,romantic move casual outdoors partner,seed
Write down five things you each want this year and compare,45,free,romantic organize writing engaging anywhere partner,seed
"Learn something together, badly",45,free,romantic try learn funny engaging home partner,seed
Reread the messages from when you first met,30,free,romantic nostalgic casual anywhere partner,seed
Take a proper photograph of each other,45,free,romantic create visualart engaging anywhere partner,seed
Cook the meal from the night it started,120,frugal,romantic eat nostalgic engaging home partner,seed
Give each other an hour with no interruptions,60,free,romantic mindful casual home partner,seed
Go out on a weeknight as though it were a weekend,150,frugal,romantic adventurous casual indoors partner,seed
Watch the stars from somewhere with no streetlights,120,free,romantic mindful engaging outdoors partner,seed
Argue properly about something that does not matter,30,free,romantic funny engaging anywhere partner,seed
Do the thing the other one always suggests,90,free,romantic kindness casual anywhere partner,seed
Walk a graveyard at dusk,45,free,spooky mindful casual outdoors,seed
Read about the strangest thing that ever happened where you live,45,free,spooky read learn engaging anywhere,seed
Tell ghost stories with the lights off,60,free,spooky friends funny engaging home,seed
Find the most abandoned-looking building near you and go and look,60,free,spooky travel adventurous casual indoors,seed
Watch the horror film you have been avoiding,110,free,spooky watch challenging home,seed
Learn one genuinely unsettling fact and sit with it,20,free,spooky learn casual anywhere,seed
Go somewhere very quiet at three in the morning,60,free,spooky adventurous challenging outdoors,seed
Read a folk tale from wherever your family is from,45,free,spooky read nostalgic learn engaging anywhere,seed
Make a playlist for a haunting,40,free,spooky create music funny casual anywhere,seed
Step outside and look up for two minutes,2,free,mindful outdoors casual,seed
Send somebody a photograph of what you can see right now,2,free,kindness anywhere casual,seed
Write one sentence about today,3,free,create writing home solo casual,seed
Learn one word in another language,3,free,learn try anywhere solo casual,seed
Stand on one leg until you cannot,2,free,move play funny anywhere casual,seed
Put on one song and do nothing else,4,free,listen music mindful home solo casual,seed
Look up what your street is named after,4,free,learn read anywhere solo casual,seed
Water the plants,4,free,clean mindful home solo casual,seed
Say the thing you have been meaning to say,3,free,kindness anywhere partner friends challenging,seed
Open a window and listen for one minute,2,free,listen mindful home solo casual,seed
Draw one small thing in the corner of a page,4,free,create drawing visualart home solo casual,seed
Take one photograph of something completely ordinary,3,free,create visualart anywhere solo casual,seed
Build something out of the flattened boxes before they go out,60,free,create play funny casual home,seed
Make a piece of furniture out of one plank,240,frugal,create repair challenging home,seed
Design a flag for the street you live on,45,free,create funny engaging home,seed
Invent a board game and make somebody play it,120,free,create play friends challenging home,seed
Take a rubbing of every interesting surface on one walk,45,free,create mindful casual outdoors,seed
Build the highest thing you can out of what is on the table,20,free,create play funny casual anywhere,seed
Make a scale model of your own street,180,frugal,create challenging home,seed
Design the room you would build if money were no object,60,free,create engaging home,seed
Make a wreath out of things you find on the ground,60,free,create mindful engaging outdoors,seed
Cast a candle in a mould you made yourself,90,frugal,create try engaging home,seed
Empty your inbox to nothing and keep it there a week,90,free,organize challenging home,seed
Photograph everything you own of one particular kind,60,free,organize funny engaging home,seed
Make a map of where everything in the kitchen lives,45,free,organize casual home,seed
Write down every recurring payment you have,30,free,organize engaging home,seed
Get one year of photographs down to ten,60,free,organize challenging home,seed
Label everything in one drawer,30,free,organize casual home,seed
Make the list of everything in this place that needs fixing,25,free,organize repair casual home,seed
Sort the loose photographs into people,60,free,organize nostalgic engaging home,seed
Pack a bag you could leave with in ten minutes,45,free,organize adventurous engaging home,seed
Book the appointment you have been putting off,15,free,organize challenging home,seed
Wash the outside of every window you can safely reach,60,free,clean engaging home,seed
Take the bins out and then wash the bins,30,free,clean casual home,seed
Wipe every light switch and door handle in the house,25,free,clean casual home,seed
Clean one window until it disappears,20,free,clean mindful casual home,seed
Wash the thing you have only ever wiped,40,free,clean engaging home,seed
Get the limescale off the shower door for good,50,frugal,clean challenging home,seed
Clean out the drawer nearest the kettle,25,free,clean casual home,seed
Beat the rugs outside as though it were 1890,40,free,clean move funny engaging outdoors,seed
Clean the oven with something long on in the background,90,free,clean listen engaging home,seed
Wash every mug down past the tea line,25,free,clean mindful casual home,seed
Re-glue the chair that wobbles,45,frugal,repair engaging home,seed
Learn to darn one hole properly,45,free,repair create clothes learn engaging home,seed
Replace the cable rather than the whole thing,40,frugal,repair learn engaging home,seed
Sew the button back on before you next need it,15,free,repair create clothes casual home,seed
Take the bicycle apart and put it back together,120,free,repair try challenging home,seed
Track down the noise and put a stop to it,45,free,repair engaging home,seed
Change every dead bulb in one go,25,frugal,repair casual home,seed
Service the thing that has never been serviced,60,frugal,repair learn engaging home,seed
Repair something with entirely the wrong material,45,free,repair funny try casual home,seed
Get the squeaky floorboard to shut up,60,free,repair challenging home,seed
Try to draw a perfect circle for ten minutes,10,free,try create visualart drawing funny casual home,seed
Learn to solve the cube from a video,120,frugal,try learn challenging home,seed
Eat one whole meal with your other hand,30,free,try funny casual home,seed
Learn to sharpen a pencil with a knife,15,free,try learn casual home,seed
Take up a sport nobody you know plays,120,costly,try play move engaging indoors newpeople friends,seed
Learn one useful sentence in three languages,30,free,try learn casual anywhere,seed
Cook the recipe that has always looked too hard,150,frugal,try eat challenging home,seed
Learn to skim a stone properly,30,free,try play move casual outdoors,seed
Order the drink you have decided you do not like,20,frugal,try eat funny casual indoors,seed
Learn to ride with no hands,45,free,try move play challenging outdoors,seed
Learn one magic trick with a coin,45,free,play try funny engaging home,seed
Play darts until you can finish on a double,90,frugal,play friends engaging indoors,seed
Run a tournament of something ridiculous,120,free,play friends funny engaging home,seed
Finish the game you abandoned years ago,180,free,play nostalgic engaging home,seed
Do a crossword with somebody else,45,free,play friends casual home,seed
Throw a ball back and forth until you both get bored,30,free,play move friends casual outdoors,seed
Beat your own record at something pointless,25,free,play funny move casual anywhere,seed
Play table football against a stranger,45,frugal,play funny challenging indoors newpeople friends,seed
Learn to play conkers or marbles again,30,free,play nostalgic funny casual outdoors,seed
Teach somebody the game you loved as a child,60,free,play kindness nostalgic casual home,seed
Walk up every set of stairs between here and there,45,free,move challenging outdoors,seed
Spend twenty minutes on something you cannot do yet,20,free,move try challenging home,seed
Walk somewhere before the sun is up,60,free,move mindful engaging outdoors,seed
Cycle the whole length of one park,60,free,move engaging outdoors,seed
Get into cold water and straight back out,30,free,move adventurous challenging outdoors,seed
Hang from something until you have to let go,5,free,move funny challenging home,seed
Carry the shopping home instead of driving it,45,free,move casual outdoors,seed
Learn to move in a way you have never moved,45,free,move try dancing engaging home,seed
Walk the whole perimeter of where you live,120,free,move engaging outdoors,seed
Get properly out of breath once today,20,free,move challenging outdoors,seed
Find out who lived in your house before you,90,free,learn engaging home,seed
Learn the rules of a sport well enough to argue about them,60,free,learn watch engaging anywhere,seed
Learn where your electricity actually comes from,45,free,learn engaging home,seed
Read the whole manual for something you already own,45,free,learn read casual home,seed
Learn to read a map with the phone in your pocket,60,free,learn travel engaging outdoors,seed
Learn ten stars and then go and find them,60,free,learn watch mindful engaging outdoors,seed
Learn what the buildings on your walk are made of,45,free,learn casual outdoors,seed
Teach yourself the history of one single year,90,free,learn read challenging home,seed
Learn how to tell whether a thing is well made,60,free,learn engaging indoors,seed
Learn the difference between two things you have always confused,30,free,learn casual anywhere,seed
Take something round to the neighbour you never speak to,30,free,kindness casual home newpeople,seed
Write a reference for somebody who has not asked for one,40,free,kindness writing engaging anywhere,seed
Pay for the person behind you and leave,10,frugal,kindness casual indoors,seed
Give a proper compliment to somebody who never gets one,10,free,kindness casual anywhere,seed
Do the washing up in somebody else’s house,25,free,kindness clean casual anywhere,seed
Send the message you keep not sending,15,free,kindness challenging anywhere,seed
Give an afternoon to somebody who is moving,240,free,kindness friends move challenging anywhere,seed
Teach somebody the thing you are best at,90,free,kindness learn engaging anywhere,seed
Leave a good review for somewhere small,15,free,kindness writing casual anywhere,seed
Give away the thing somebody else keeps admiring,20,free,kindness casual home,seed
Write down the advice you would give yourself at twenty,45,free,create writing nostalgic engaging anywhere,seed
Write a hundred words a day until the week is out,20,free,create writing casual anywhere,seed
Write the obituary of somebody you have invented,45,free,create writing funny engaging anywhere,seed
Describe your own face in writing with no mirror,25,free,create writing funny casual anywhere,seed
Keep a list of every good sentence you hear this week,20,free,create writing casual anywhere,seed
Write a scene set entirely in a lift,40,free,create writing engaging anywhere,seed
Write the instructions for a machine that does not exist,40,free,create writing funny engaging home,seed
Write down the three stories you always tell,45,free,create writing nostalgic engaging anywhere,seed
Write a page in the voice of somebody you cannot stand,40,free,create writing challenging anywhere,seed
Write the last page first and then the rest,60,free,create writing challenging anywhere,seed
Photograph every door on one street,60,free,create visualart engaging outdoors,seed
Take a self-portrait you would actually keep,45,free,create visualart challenging home,seed
Photograph the same person every day for a week,30,free,create visualart engaging anywhere,seed
Photograph what is left at the end of the day,20,free,create visualart mindful casual home,seed
Make a cyanotype on the windowsill,120,frugal,create visualart try engaging home,seed
Photograph a whole day in twelve pictures,180,free,create visualart engaging anywhere,seed
Frame something you made and hang it up,45,frugal,create visualart casual home,seed
Photograph strangers’ hands with their permission,60,free,create visualart challenging outdoors newpeople,seed
Photograph the ugliest thing near you until it looks good,45,free,create visualart funny engaging outdoors,seed
Photograph one corner in every season and start today,20,free,create visualart mindful casual outdoors,seed
Draw everybody on the bus,45,free,create visualart drawing engaging indoors,seed
Draw the plant on the windowsill leaf by leaf,60,free,create visualart drawing mindful engaging home,seed
Draw your own hand ten different ways,45,free,create visualart drawing engaging home,seed
Draw a building from across the road,60,free,create visualart drawing challenging outdoors,seed
Draw the inside of something you have taken apart,45,free,create visualart drawing repair engaging home,seed
Draw one thing a day this week on the same page,30,free,create visualart drawing casual home,seed
Draw in ink with no pencil underneath it,40,free,create visualart drawing challenging home,seed
Draw the view from the highest window you can get to,60,free,create visualart drawing engaging indoors,seed
